PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,SHOT_TYPE,SHOT_DISTANCE,SHOT_MADE_FLAG,YEAR,MONTH,DAY,HOME,Above the Break 3,Backcourt,In The Paint (Non-RA),Left Corner 3,Mid-Range,Restricted Area,Right Corner 3,Back Court(BC),Center(C),Left Side Center(LC),Left Side(L),Right Side Center(RC),Right Side(R),Driving Layup Shot,Jump Shot,Layup Shot,Pullup Jump shot,Step Back Jump shot,LOC_RATIO
1,11,25,1,26,0,2009,10,28,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.7382401920439537
1,9,31,0,18,1,2009,10,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,21.546978367661865
1,6,2,0,14,0,2009,10,28,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.184148481199839
2,9,49,0,19,0,2009,10,28,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.890843851761228
2,2,19,0,16,0,2009,10,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,42.49830351074264
2,0,34,0,4,0,2009,10,28,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.2180364478477492
4,10,26,0,16,1,2009,10,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,266.67484733880997
4,6,31,0,17,1,2009,10,28,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-3.352873020171573
4,2,25,0,20,1,2009,10,28,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,7.017347164684004
4,1,47,0,18,1,2009,10,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6.075887782478553
4,0,29,0,0,1,2009,10,28,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.032489456252936436
4,0,0,0,1,1,2009,10,28,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.024839595324427123
1,10,39,1,24,0,2009,10,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.4648373459473722
1,9,27,0,22,1,2009,10,30,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.0680356162275306
2,1,28,0,20,1,2009,10,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,7.248370939653025
2,1,0,1,26,1,2009,10,30,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.5546162450890063
3,8,35,0,15,0,2009,10,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.7517319451105294
3,2,57,0,0,0,2009,10,30,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
4,10,14,0,0,0,2009,10,30,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
4,7,23,1,24,1,2009,10,30,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.011356786132831304
1,9,30,1,25,1,2009,11,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.4131493491424976
1,6,6,0,0,0,2009,11,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.023441917378323157
1,1,49,0,18,1,2009,11,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-2.7789999639849623
1,0,55,0,5,0,2009,11,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.30956774850404506
2,11,11,1,25,0,2009,11,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.00340294369375137
3,4,54,0,1,1,2009,11,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.01931968525233221
1,10,45,0,18,0,2009,11,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.2640211042235052
1,4,44,0,18,0,2009,11,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,27.864176841631785
1,4,15,0,15,0,2009,11,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4.172597633750332
3,10,21,0,2,1,2009,11,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.03815428949517524
3,7,12,1,28,0,2009,11,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.176554633007797
2,1,18,1,24,1,2009,11,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.46677251793180313
2,0,44,0,14,0,2009,11,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1.0343073654225454
3,1,40,1,25,0,2009,11,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.1260529697281117
3,0,47,0,13,0,2009,11,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.6522883140012624
3,0,12,0,17,1,2009,11,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-2.835521316275499
4,5,38,0,7,0,2009,11,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.36219427597829207
4,1,48,0,19,1,2009,11,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,21.724319753403936
4,1,20,0,17,1,2009,11,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-3.2226479019744203
1,9,34,0,15,0,2009,11,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.8904104057073369
2,5,11,1,26,0,2009,11,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.22061238660553928
2,1,42,0,16,1,2009,11,9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.9572913177081902
2,0,35,0,1,0,2009,11,9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.03509474494275393
3,3,9,0,3,0,2009,11,9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-0.04661000561168198
3,0,1,1,29,1,2009,11,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.8314904125936093
4,5,33,0,18,0,2009,11,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-5.276802801724006
4,0,8,0,16,0,2009,11,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.8272315399786124
2,3,52,0,19,0,2009,11,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2.423523611733773
4,6,55,0,22,1,2009,11,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.2197788495112331
4,4,23,1,26,0,2009,11,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-2.866819592821816
4,3,58,0,0,0,2009,11,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.0025333831028669534
4,1,25,0,21,1,2009,11,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.9599776875583776
4,0,8,1,24,0,2009,11,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.130305037110706
1,0,22,0,14,1,2009,11,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.8815700914886888
2,11,48,0,0,1,2009,11,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
2,11,0,0,13,0,2009,11,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.7367932750102244
2,9,43,0,0,0,2009,11,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
2,9,12,1,22,1,2009,11,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1.1047669418836823
3,3,19,0,0,1,2009,11,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.00248243569191573
3,2,26,0,13,1,2009,11,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.8819795923191353
3,0,55,1,29,1,2009,11,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.9719646230478939
4,7,17,0,0,0,2009,11,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.00248243569191573
1,11,32,0,17,1,2009,11,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6.721292755259617
1,8,34,1,25,0,2009,11,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.2514936379037054
