PLAYER_NAME,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
Steven Adams,OKC,2669.2583329999998,481,809,0,2,146,292,391,369,124,135,117,76,50,204,278,1108,389
Bam Adebayo,MIA,1912.6,280,486,3,15,166,226,165,432,184,121,71,65,31,203,227,729,21
LaMarcus Aldridge,SAS,2686.65,684,1319,10,42,349,412,251,493,194,144,43,107,45,179,381,1727,90
Jarrett Allen,BKN,2095.97,335,568,6,45,197,278,191,481,110,103,43,120,48,184,268,873,-119
Al-Farouq Aminu,POR,2291.698333,257,593,96,280,150,173,112,498,104,72,68,33,29,143,148,760,384
Justin Anderson,ATL,463.505,64,157,24,77,26,35,24,60,23,23,22,13,9,48,28,178,-79
Kyle Anderson,MEM,1281.526667,150,276,9,34,37,64,48,203,128,58,54,37,14,112,60,346,-59
Giannis Antetokounmpo,MIL,2358.2216670000003,721,1247,52,203,500,686,159,739,424,268,92,110,100,232,554,1994,652
OG Anunoby,TOR,1352.266667,183,404,67,202,36,62,58,139,47,55,46,22,32,140,59,469,-49
Ryan Arcidiacono,CHI,1961.3,187,418,81,217,89,102,27,192,269,63,65,4,17,171,119,544,-250
Trevor Ariza,WAS,1465.036667,208,509,95,295,94,121,34,192,165,67,53,13,20,86,105,605,-54
D.J. Augustin,ORL,2268.961667,318,677,131,311,181,209,41,162,426,128,52,4,42,115,203,948,169
Deandre Ayton,PHX,2182.6883329999996,509,870,0,4,141,189,223,506,125,126,61,67,43,209,198,1159,-383
Dwayne Bacon,CHA,758.6683333,122,257,38,87,34,46,8,81,47,18,12,5,14,72,42,316,-22
Marvin Bagley III,SAC,1567.495,356,706,30,96,181,262,162,309,62,98,33,59,46,120,224,923,-103
Lonzo Ball,LAL,1422.538333,185,456,75,228,20,48,54,197,255,103,69,19,25,114,62,465,-16
Mo Bamba,ORL,766.1933333,117,243,21,70,37,63,64,169,39,43,13,64,15,102,63,292,-240
Harrison Barnes,DAL,1583.74,290,717,121,311,165,198,36,171,62,68,33,11,36,79,142,866,-79
Will Barton,DEN,1188.978333,185,460,67,196,57,74,32,167,124,65,18,22,20,82,60,494,7
Nicolas Batum,CHA,2354.018333,253,562,116,298,77,89,71,319,247,117,71,43,19,140,92,699,-21
Aron Baynes,BOS,820.795,105,223,21,61,53,62,88,152,57,40,12,34,12,125,96,284,130
Kent Bazemore,ATL,1643.413333,278,691,96,300,127,175,37,224,152,121,89,42,34,170,149,779,-297
Bradley Beal,WAS,3027.651667,764,1609,209,596,362,448,89,322,448,224,121,58,64,226,361,2099,-112
Malik Beasley,DEN,1878.723333,349,737,163,405,56,66,35,165,97,55,55,10,34,116,68,917,135
Marco Belinelli,SAS,1815.3566670000002,285,690,147,395,112,124,16,182,132,72,35,8,18,121,109,829,33
Jordan Bell,GSW,788.29,99,192,0,2,25,41,55,129,76,42,20,51,11,80,54,223,-100
DeAndre' Bembry,ATL,1931.28,275,616,50,173,87,136,54,304,202,142,105,41,45,190,133,687,-229
Dragan Bender,PHX,826.2083332999999,88,197,22,101,32,54,34,149,56,37,18,22,4,90,53,230,-159
