GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,2097,77,0.037
League Averages,Above the Break 3,Center(C),24+ ft.,185358,63808,0.344
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,306996,107358,0.35
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,301137,106325,0.353
League Averages,Backcourt,Back Court(BC),Back Court Shot,9026,238,0.026
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,152181,62619,0.411
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,422699,164672,0.39
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,45762,18207,0.398
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,46615,18349,0.394
League Averages,Left Corner 3,Left Side(L),24+ ft.,141493,54428,0.385
League Averages,Mid-Range,Center(C),8-16 ft.,45646,19368,0.424
League Averages,Mid-Range,Center(C),16-24 ft.,158855,63648,0.401
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,196060,78485,0.4
League Averages,Mid-Range,Left Side(L),16-24 ft.,184034,73789,0.401
League Averages,Mid-Range,Left Side(L),8-16 ft.,235388,90070,0.383
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,212273,84655,0.399
League Averages,Mid-Range,Right Side(R),16-24 ft.,165527,66044,0.399
League Averages,Mid-Range,Right Side(R),8-16 ft.,214634,82048,0.382
League Averages,Restricted Area,Center(C),Less Than 8 ft.,1493769,899488,0.602
League Averages,Right Corner 3,Right Side(R),24+ ft.,131830,51027,0.387
