,%_ACTUAL_SHOT_MADE,%_PRED_SHOT_MADE
Jump Shot,0.35107249524843875,0.0
Pullup Jump shot,0.3996547259387139,0.0
Driving Layup Shot,0.47347347347347346,0.7217217217217218
Layup Shot,0.4548736462093863,0.0
Step Back Jump shot,0.4231770833333333,0.055989583333333336
Driving Floating Jump Shot,0.4223776223776224,0.0
Cutting Layup Shot,0.7201565557729941,1.0
Floating Jump shot,0.42244897959183675,0.0
Tip Layup Shot,0.4722838137472284,0.0
Running Layup Shot,0.6215644820295984,1.0
Driving Finger Roll Layup Shot,0.6854219948849105,1.0
Hook Shot,0.4360313315926893,0.0
Fadeaway Jump Shot,0.36656891495601174,0.0
Turnaround Jump Shot,0.3968253968253968,0.0
Cutting Dunk Shot,0.9519230769230769,1.0
Putback Layup Shot,0.6484375,1.0
Turnaround Hook Shot,0.5152671755725191,0.9351145038167938
Turnaround Fadeaway shot,0.4567901234567901,0.0
Driving Floating Bank Jump Shot,0.484304932735426,0.9910313901345291
Dunk Shot,0.88,1.0
Driving Reverse Layup Shot,0.4909090909090909,1.0
Driving Dunk Shot,0.84,1.0
Alley Oop Dunk Shot,0.903954802259887,1.0
Reverse Layup Shot,0.5963855421686747,1.0
Running Dunk Shot,0.9454545454545454,1.0
Driving Hook Shot,0.4407894736842105,0.868421052631579
Running Jump Shot,0.4108527131782946,0.2248062015503876
Alley Oop Layup shot,0.6404494382022472,1.0
Running Pull-Up Jump Shot,0.46601941747572817,0.4563106796116505
Jump Bank Shot,0.5735294117647058,0.7941176470588235
Running Finger Roll Layup Shot,0.8,1.0
Tip Dunk Shot,0.6666666666666666,1.0
Cutting Finger Roll Layup Shot,0.7611940298507462,1.0
Turnaround Fadeaway Bank Jump Shot,0.6031746031746031,0.9682539682539683
Finger Roll Layup Shot,0.5769230769230769,1.0
Putback Dunk Shot,0.875,1.0
